task_id,conversation_type,duration_min,n_events_mean,event_rate_per_min,word_rate_wpm,words_sp1,words_sp2,wpm_sp1,wpm_sp2,ttr_sp1,ttr_sp2,silence_ratio,turn_count,turn_dur_mean,turn_dur_median,turn_dur_std,n_speaker_changes,fto_mean_s,fto_median_s,fto_n,speaker_balance,bc_rate_per_min,bc_ack_per_min,bc_cont_per_min,bc_react_per_min,int_rate_per_min,int_competitive_per_min,int_cooperative_per_min,int_floor_taking_per_min,int_non_floor_per_min,overlap_count_per_min,overlap_dur_s,laughter_rate_per_min,non_content_ratio,question_rate_per_min
3471,Switchboard,4.992,97.0,19.431,207.33,541,494,108.37,98.96,0.3475,0.4393,0.1221,29,10.632,8.304,10.524,28,-0.329,-0.195,28,0.546,5.809,,,,1.202,,,1.202,0.0,4.006,9.48,2.404,0.0157,
3472,Switchboard,4.995,90.0,18.017,212.6,633,429,126.72,85.88,0.3886,0.3963,0.1369,43,6.996,1.65,9.813,42,-0.043,0.037,42,0.5616,2.803,,,,0.601,,,0.601,0.0,4.204,5.55,0.4,0.0124,
3473,Switchboard,4.976,99.0,19.895,232.11,883,272,177.45,54.66,0.3194,0.4485,0.1464,31,9.876,4.252,15.618,30,-0.255,-0.135,30,0.7533,6.833,,,,0.804,,,0.603,0.201,4.019,6.72,1.206,0.0101,1.407
3474,Switchboard,4.977,149.0,29.937,207.35,483,549,97.04,110.31,0.4079,0.3989,0.1288,74,3.629,2.926,2.671,73,0.401,0.187,73,0.5386,6.028,,,,0.402,,,0.402,0.0,5.023,6.81,3.416,0.0059,
3475,Switchboard,4.981,80.0,16.062,223.26,746,366,149.77,73.48,0.374,0.4344,0.1298,28,10.536,6.214,11.215,27,0.121,0.001,27,0.6442,4.417,,,,0.803,,,0.602,0.201,2.811,4.16,1.807,0.0084,
3476,Switchboard,4.976,70.0,14.067,169.61,442,402,88.83,80.79,0.4706,0.4453,0.322,36,7.122,5.223,6.209,35,1.101,0.571,35,0.5384,1.608,,,,0.0,,,0.0,0.0,1.206,0.98,1.809,0.0128,0.603
3477,Switchboard,4.976,135.0,27.13,224.07,579,536,116.36,107.72,0.3955,0.3545,0.1078,56,5.362,3.044,4.944,55,-0.047,0.026,55,0.496,5.828,,,,0.402,,,0.201,0.201,5.225,9.01,2.613,0.0162,
3478,Switchboard,4.976,63.0,12.661,216.24,626,450,125.8,90.43,0.345,0.3578,0.1428,19,15.923,6.05,21.629,18,-0.258,-0.285,18,0.5786,4.22,,,,0.201,,,0.201,0.0,2.813,5.42,0.0,0.007,
3479,Switchboard,4.978,110.0,22.096,210.72,620,429,124.54,86.18,0.3903,0.4103,0.1269,39,7.957,4.03,9.741,38,-0.314,-0.144,38,0.5388,3.214,,,,1.406,,,1.406,0.0,4.821,14.36,2.611,0.0239,
3480,Switchboard,4.985,118.0,23.673,197.41,555,429,111.34,86.07,0.3676,0.4079,0.2024,55,5.219,3.297,5.031,54,0.211,0.181,54,0.5103,4.414,,,,0.602,,,0.602,0.0,3.611,5.28,2.608,0.0178,
3481,Switchboard,4.987,106.0,21.254,222.77,492,619,98.65,124.12,0.3679,0.336,0.1351,39,7.526,2.507,10.587,38,0.139,0.155,38,0.4822,6.416,,,,0.602,,,0.602,0.0,3.008,5.67,3.008,0.0034,
3482,Switchboard,4.97,187.0,37.629,221.34,539,561,108.46,112.89,0.3655,0.4153,0.0773,80,4.113,2.567,3.694,79,-0.395,-0.145,79,0.4728,4.628,,,,3.22,,,2.817,0.402,11.268,22.58,3.421,0.0244,
3483,Switchboard,4.977,126.0,25.316,236.48,775,402,155.71,80.77,0.3535,0.4229,0.0972,47,6.304,3.5,7.157,46,0.043,0.022,46,0.5465,3.617,,,,1.005,,,1.005,0.0,4.822,8.41,4.822,0.0333,
3484,Switchboard,4.976,54.0,10.852,177.25,314,568,63.1,114.15,0.4968,0.3715,0.1761,15,20.002,11.939,26.513,14,-0.111,0.122,14,0.3817,3.818,,,,0.402,,,0.402,0.0,1.206,3.06,0.201,0.0347,
3485,Switchboard,4.992,138.0,27.644,203.12,662,352,132.61,70.51,0.358,0.4261,0.1439,62,4.793,2.763,8.935,61,0.024,0.111,61,0.6539,4.207,,,,1.202,,,1.202,0.0,5.409,8.39,3.205,0.0302,
3486,Switchboard,4.981,134.0,26.903,194.34,482,486,96.77,97.57,0.3776,0.4074,0.1543,58,5.13,2.435,6.855,57,-0.274,-0.141,57,0.4899,2.811,,,,1.606,,,1.606,0.0,8.031,17.69,2.208,0.0092,
3487,Switchboard,4.986,75.0,15.043,176.91,254,628,50.95,125.96,0.563,0.3424,0.2404,30,9.902,3.459,13.484,29,0.053,-0.001,29,0.2778,2.006,,,,0.802,,,0.802,0.0,3.209,5.33,1.805,0.0143,0.802
3488,Switchboard,4.956,44.0,8.878,152.73,400,357,80.71,72.03,0.425,0.4118,0.2151,6,49.825,53.363,15.307,5,-0.746,-0.954,5,0.489,1.614,,,,0.404,,,0.404,0.0,0.605,1.73,0.605,0.0402,
3489,Switchboard,4.979,102.0,20.485,188.58,397,542,79.73,108.85,0.4635,0.4299,0.1229,45,6.604,2.084,12.446,44,0.035,0.1,44,0.4714,4.218,,,,1.004,,,1.004,0.0,3.615,7.57,2.008,0.0078,1.004
3490,Switchboard,4.995,98.0,19.619,220.01,540,559,108.1,111.91,0.4,0.3989,0.2003,50,6.077,2.404,7.535,49,-0.088,0.085,49,0.5148,1.401,,,,1.401,,,1.401,0.0,4.805,11.74,1.401,0.016,
3491,Switchboard,4.97,126.0,25.354,169.63,307,536,61.78,107.86,0.4919,0.4086,0.2295,80,3.285,1.714,3.825,79,0.436,0.452,79,0.33,1.409,,,,0.402,,,0.402,0.0,2.213,2.93,3.22,0.0123,5.031
3492,Switchboard,4.994,152.0,30.439,218.48,468,623,93.72,124.76,0.438,0.3323,0.0639,78,4.086,2.868,3.723,77,-0.25,-0.002,77,0.4239,2.403,,,,2.203,,,1.802,0.401,8.611,20.15,2.403,0.0115,
3493,Switchboard,4.966,147.0,29.599,221.49,780,320,157.05,64.43,0.3295,0.4344,0.1056,64,4.841,1.677,8.409,63,-0.189,-0.049,63,0.6666,5.034,,,,1.409,,,1.208,0.201,8.457,15.25,1.409,0.0106,
3494,Switchboard,5.001,114.0,22.795,220.15,210,891,41.99,178.16,0.4905,0.3614,0.0956,43,7.239,3.594,10.617,42,-0.268,-0.072,42,0.2276,6.998,,,,2.0,,,2.0,0.0,5.199,14.04,1.4,0.0027,
3495,Switchboard,4.985,52.0,10.432,183.17,523,390,104.92,78.24,0.4321,0.4282,0.1821,22,13.223,4.224,13.32,21,0.387,0.272,21,0.5816,3.411,,,,0.401,,,0.401,0.0,1.605,3.0,0.802,0.0,0.602
3496,Switchboard,4.976,176.0,35.37,217.44,360,722,72.35,145.1,0.3722,0.349,0.1427,92,3.3,1.5,4.249,91,-0.087,0.006,91,0.3732,3.818,,,,2.412,,,2.412,0.0,10.651,18.18,1.608,0.0093,2.813
3497,Switchboard,4.988,158.0,31.674,181.42,475,430,95.22,86.2,0.3937,0.4023,0.2595,91,3.071,1.513,3.859,90,0.207,0.251,90,0.5046,4.21,,,,0.601,,,0.601,0.0,6.014,6.89,2.807,0.0026,4.611
3498,Switchboard,4.962,66.0,13.302,191.67,485,466,97.75,93.92,0.4206,0.3584,0.2161,20,14.464,13.205,11.793,19,0.41,0.386,19,0.4376,4.837,,,,0.0,,,0.0,0.0,0.605,0.63,0.0,0.0177,
3499,Switchboard,4.984,83.0,16.653,205.26,855,168,171.55,33.71,0.345,0.6488,0.134,35,8.665,4.66,12.183,34,-0.142,-0.07,34,0.7826,3.411,,,,0.401,,,0.401,0.0,3.612,8.15,1.003,0.0095,
3500,Switchboard,5.003,108.0,21.588,184.1,547,374,109.34,74.76,0.4095,0.4813,0.1658,57,5.183,1.992,5.577,56,0.061,0.129,56,0.5556,3.998,,,,0.999,,,0.999,0.0,3.998,8.28,1.599,0.007,1.399
3501,Switchboard,4.964,111.0,22.36,191.97,722,231,145.44,46.53,0.3532,0.5844,0.1207,45,6.623,2.273,11.518,44,-0.017,0.068,44,0.7265,4.835,,,,0.403,,,0.403,0.0,3.626,5.66,3.022,0.0081,
3502,Switchboard,4.975,59.0,11.858,153.15,184,578,36.98,116.17,0.5707,0.4048,0.2533,29,9.887,4.33,11.841,28,0.391,0.246,28,0.2254,0.804,,,,0.201,,,0.201,0.0,1.608,2.79,0.0,0.02,
3503,Switchboard,4.988,121.0,24.257,228.74,379,762,75.98,152.76,0.4749,0.3596,0.1036,43,7.249,2.645,13.213,42,-0.3,-0.015,42,0.3282,7.217,,,,1.804,,,1.403,0.401,5.012,9.39,1.804,0.0103,1.002
3504,Switchboard,4.985,80.0,16.05,210.65,443,607,88.87,121.78,0.4334,0.4036,0.2207,39,7.473,2.58,8.244,38,0.198,0.166,38,0.482,3.611,,,,0.401,,,0.401,0.0,2.608,6.6,1.003,0.0104,0.401
3505,Switchboard,4.984,34.0,6.822,153.89,259,508,51.97,101.93,0.5328,0.4488,0.2564,16,17.933,9.537,23.138,15,0.799,0.268,15,0.2995,2.608,,,,0.0,,,0.0,0.0,0.201,0.41,0.401,0.0022,
3506,Switchboard,4.99,77.0,15.431,145.29,239,486,47.9,97.4,0.4937,0.393,0.2819,44,6.44,3.492,10.47,43,0.371,0.335,43,0.3598,2.806,,,,0.401,,,0.401,0.0,2.004,3.87,1.603,0.0022,4.209
3507,Switchboard,4.997,114.0,22.812,202.91,508,506,101.65,101.25,0.4213,0.4209,0.1181,55,5.588,3.34,5.719,54,-0.141,-0.017,54,0.527,2.001,,,,1.401,,,1.401,0.0,6.603,7.67,2.601,0.0033,
3508,Switchboard,5.008,142.0,28.354,210.66,617,438,123.2,87.46,0.4019,0.4635,0.1031,66,4.925,2.481,6.048,65,-0.379,-0.124,65,0.5557,3.794,,,,2.596,,,2.196,0.399,8.986,22.55,1.797,0.0025,1.597
3509,Switchboard,4.992,95.0,19.03,211.94,284,774,56.89,155.05,0.4437,0.3385,0.2419,46,6.323,1.595,10.622,45,0.162,0.14,45,0.3029,3.205,,,,0.601,,,0.601,0.0,3.606,6.59,0.601,0.0144,2.604
3510,Switchboard,5.0,82.0,16.4,205.0,506,519,101.2,103.8,0.4091,0.3892,0.1294,47,6.217,4.503,4.862,46,0.128,0.274,46,0.4559,1.4,,,,0.4,,,0.4,0.0,3.4,5.39,0.4,0.0183,
3511,Switchboard,4.979,68.0,13.658,153.86,425,341,85.36,68.49,0.4024,0.5249,0.163,18,16.282,8.09,18.271,17,0.29,0.179,17,0.4944,6.427,,,,0.201,,,0.201,0.0,1.004,1.39,0.402,0.0097,
3512,Switchboard,4.972,165.0,33.187,228.89,640,498,128.73,100.17,0.4031,0.3494,0.0834,52,6.045,3.48,7.233,51,-0.317,-0.184,51,0.5517,5.431,,,,1.609,,,1.408,0.201,7.844,14.39,2.615,0.0544,
3513,Switchboard,4.973,121.0,24.33,168.7,310,529,62.33,106.37,0.4419,0.3837,0.1934,47,6.031,2.469,8.107,46,0.301,0.299,46,0.3755,5.831,,,,0.603,,,0.603,0.0,2.614,5.41,4.424,0.0175,3.016
3514,Switchboard,5.001,91.0,18.196,122.17,226,385,45.19,76.98,0.4912,0.4286,0.3258,48,5.87,1.776,9.793,47,0.38,0.332,47,0.3162,3.399,,,,0.8,,,0.8,0.0,3.199,7.26,1.0,0.0099,3.199
3515,Switchboard,4.975,75.0,15.074,181.09,423,478,85.02,96.07,0.4137,0.3787,0.1752,31,9.566,5.939,10.002,30,0.041,0.111,30,0.4545,3.819,,,,0.603,,,0.603,0.0,2.814,5.87,1.407,0.0137,1.206
3516,Switchboard,4.977,44.0,8.84,181.03,355,546,71.33,109.7,0.431,0.4249,0.1832,19,15.302,5.482,19.873,18,0.437,0.2,18,0.4257,2.009,,,,0.603,,,0.603,0.0,1.808,1.76,0.603,0.0063,
3517,Switchboard,4.968,98.0,19.726,183.57,471,441,94.81,88.77,0.4586,0.4308,0.143,42,6.879,3.219,8.868,41,0.223,0.146,41,0.499,4.63,,,,0.403,,,0.403,0.0,3.221,4.16,1.208,0.0252,1.812
3518,Switchboard,5.003,70.0,13.992,173.51,323,545,64.57,108.94,0.5201,0.389,0.1807,34,8.633,3.876,12.577,33,0.182,0.302,33,0.3825,2.599,,,,0.8,,,0.8,0.0,1.599,3.75,1.799,0.0196,2.798
3519,Switchboard,4.995,152.0,30.432,226.64,708,424,141.75,84.89,0.3729,0.4646,0.12,67,4.768,2.639,4.818,66,-0.301,-0.044,66,0.6425,4.204,,,,3.003,,,2.803,0.2,7.808,18.69,2.803,0.0174,
3520,Switchboard,4.976,40.0,8.039,170.42,227,621,45.62,124.8,0.5374,0.3494,0.1955,28,10.028,4.995,10.396,27,0.658,0.608,27,0.2162,0.804,,,,0.201,,,0.201,0.0,0.804,0.62,0.402,0.0142,0.0
3521,Switchboard,4.981,108.0,21.683,199.97,425,571,85.33,114.64,0.44,0.3888,0.2117,43,6.791,2.523,8.555,42,0.161,0.22,42,0.4218,5.421,,,,0.602,,,0.602,0.0,2.811,6.56,0.402,0.0367,2.409
3522,Switchboard,4.985,119.0,23.874,180.96,395,507,79.24,101.71,0.4051,0.4063,0.1749,51,5.617,3.005,6.569,50,0.236,-0.019,50,0.461,5.216,,,,0.802,,,0.602,0.201,5.417,11.67,1.806,0.0216,
3523,Switchboard,4.996,119.0,23.818,184.74,500,423,100.07,84.66,0.398,0.4184,0.1244,53,5.782,2.602,6.596,52,-0.129,-0.071,52,0.516,4.603,,,,2.001,,,2.001,0.0,6.205,17.23,2.001,0.0033,1.001
3524,Switchboard,4.968,174.0,35.024,215.58,429,642,86.35,129.23,0.4499,0.3769,0.1327,76,4.237,2.684,4.367,75,-0.325,-0.135,75,0.3812,4.026,,,,3.422,,,3.221,0.201,10.467,22.45,2.214,0.0147,4.026
3525,Switchboard,4.988,99.0,19.846,251.79,754,502,151.15,100.64,0.3621,0.4024,0.1331,45,6.932,2.951,8.997,44,-0.298,-0.127,44,0.5918,2.606,,,,1.804,,,1.804,0.0,6.014,13.31,1.804,0.0061,1.002
3526,Switchboard,4.982,138.0,27.7,180.45,419,480,84.1,96.35,0.4558,0.4146,0.178,76,3.637,1.38,4.659,75,0.291,0.283,75,0.4401,2.81,,,,0.201,,,0.201,0.0,4.416,6.2,3.212,0.033,2.609
3527,Switchboard,4.985,146.0,29.287,225.27,525,598,105.31,119.96,0.3981,0.3344,0.1235,53,5.847,2.229,10.278,52,-0.211,-0.183,52,0.4601,8.626,,,,1.003,,,1.003,0.0,7.222,12.54,2.407,0.0023,1.404
3528,Switchboard,4.996,141.0,28.221,216.36,461,620,92.27,124.09,0.4035,0.4,0.1353,58,5.326,2.44,7.303,57,-0.171,-0.038,57,0.4249,4.403,,,,1.201,,,1.001,0.2,7.205,12.58,0.4,0.0496,2.802
3529,Switchboard,4.961,138.0,27.819,197.76,635,346,128.01,69.75,0.3591,0.3988,0.1306,55,5.45,2.702,7.814,54,-0.046,0.011,54,0.5628,3.629,,,,1.008,,,1.008,0.0,5.241,9.21,1.613,0.0532,
3530,Switchboard,4.969,96.0,19.319,136.24,206,471,41.46,94.79,0.568,0.4161,0.2771,47,5.909,2.215,7.479,46,0.437,0.386,46,0.2702,2.012,,,,0.201,,,0.201,0.0,2.616,2.57,1.006,0.0278,2.012
3531,Switchboard,4.985,68.0,13.642,181.56,610,295,122.38,59.18,0.3246,0.4983,0.2087,30,9.912,2.831,11.595,29,0.002,0.123,29,0.664,2.407,,,,0.802,,,0.802,0.0,2.809,6.27,0.602,0.0105,
3532,Switchboard,4.974,103.0,20.706,198.21,495,491,99.51,98.7,0.4586,0.4155,0.1545,41,7.469,2.58,9.973,40,-0.233,-0.095,40,0.4732,3.216,,,,1.206,,,1.005,0.201,5.428,8.55,0.603,0.0126,
3533,Switchboard,4.975,109.0,21.907,214.45,469,598,94.26,120.19,0.467,0.3796,0.1225,39,7.976,3.503,9.107,38,-0.338,-0.297,38,0.4386,4.422,,,,1.407,,,1.407,0.0,5.628,12.64,1.809,0.0167,1.608
3534,Switchboard,4.977,130.0,26.12,179.02,405,486,81.37,97.65,0.4049,0.4136,0.1778,54,5.451,3.407,5.246,53,0.079,-0.106,53,0.4905,3.215,,,,1.206,,,1.005,0.201,6.429,11.63,1.206,0.0311,
3535,Switchboard,4.963,105.0,21.158,183.17,562,347,113.24,69.92,0.4502,0.4496,0.1556,46,6.557,4.49,6.669,45,-0.089,0.081,45,0.5657,2.217,,,,1.612,,,1.612,0.0,4.635,12.45,1.814,0.0273,0.806
3536,Switchboard,4.977,105.0,21.097,205.54,709,314,142.45,63.09,0.3526,0.4554,0.1082,32,9.258,3.4,12.149,31,0.076,-0.11,31,0.6377,6.63,,,,0.603,,,0.603,0.0,3.817,7.41,2.21,0.0164,
3537,Switchboard,4.991,27.0,5.41,177.32,697,188,139.65,37.67,0.3859,0.6064,0.1974,13,22.902,8.503,27.415,12,0.142,0.305,12,0.7781,1.202,,,,0.401,,,0.401,0.0,0.801,1.67,0.0,0.0052,0.601
3538,Switchboard,4.879,135.0,27.67,212.95,514,525,105.35,107.6,0.3619,0.36,0.1387,66,4.526,2.897,5.355,65,-0.142,-0.047,65,0.5531,4.099,,,,1.435,,,1.435,0.0,7.584,10.88,2.05,0.0005,
3539,Switchboard,4.986,129.0,25.872,210.38,300,749,60.17,150.22,0.45,0.3765,0.1193,49,6.239,2.076,10.305,48,-0.137,0.023,48,0.317,6.418,,,,1.003,,,1.003,0.0,5.014,10.32,1.604,0.0256,0.401
3540,Switchboard,4.986,128.0,25.671,210.38,573,476,114.92,95.46,0.3805,0.416,0.1903,65,4.469,1.362,7.845,64,0.134,0.179,64,0.5882,5.214,,,,0.401,,,0.401,0.0,4.412,7.34,1.003,0.0151,
3541,Switchboard,4.987,45.0,9.023,169.43,615,230,123.31,46.12,0.374,0.5391,0.2004,18,16.762,8.083,22.126,17,-0.151,0.186,17,0.7247,1.404,,,,0.201,,,0.201,0.0,1.003,1.18,1.805,0.0058,1.003
3542,Switchboard,4.981,92.0,18.471,204.79,374,646,75.09,129.7,0.4305,0.3467,0.148,30,9.981,2.814,14.084,29,-0.027,0.107,29,0.3836,5.822,,,,0.402,,,0.402,0.0,2.409,3.64,1.405,0.0276,
3543,Switchboard,4.978,76.0,15.267,172.75,456,404,91.6,81.15,0.5022,0.4678,0.2858,35,8.215,2.442,10.271,34,0.327,0.524,34,0.5714,3.013,,,,0.804,,,0.804,0.0,2.21,4.67,0.0,0.0549,1.808
3544,Switchboard,4.994,169.0,33.843,246.71,703,529,140.78,105.93,0.4026,0.3667,0.067,67,4.502,3.106,3.911,66,-0.034,0.011,66,0.5666,4.205,,,,0.401,,,0.401,0.0,6.008,8.29,5.807,0.0316,
3545,Switchboard,4.985,65.0,13.04,218.67,750,340,150.46,68.21,0.3653,0.4471,0.1432,15,19.581,5.958,21.725,14,0.362,0.209,14,0.6546,5.216,,,,0.0,,,0.0,0.0,1.003,1.31,1.003,0.02,
3546,Switchboard,4.959,149.0,30.047,203.47,386,623,77.84,125.63,0.4922,0.3563,0.162,79,3.917,2.101,3.777,78,-0.156,-0.068,78,0.3699,1.815,,,,1.815,,,1.613,0.202,9.074,17.81,0.807,0.0187,
3547,Switchboard,4.976,47.0,9.445,172.63,434,425,87.22,85.41,0.4447,0.4212,0.2107,24,12.237,1.976,15.528,23,0.178,0.229,23,0.448,1.809,,,,0.201,,,0.201,0.0,1.005,2.59,0.603,0.0104,
3548,Switchboard,3.101,133.0,42.884,214.74,350,316,112.85,101.89,0.4743,0.5032,0.0874,54,3.446,1.599,4.362,53,-0.031,-0.109,53,0.5567,3.869,,,,0.645,,,0.645,0.0,10.64,8.13,3.224,0.0843,
3549,Switchboard,4.991,108.0,21.639,185.54,756,170,151.47,34.06,0.3717,0.4882,0.1758,45,6.548,2.796,9.475,44,0.095,0.149,44,0.7648,3.807,,,,0.601,,,0.601,0.0,3.807,6.02,2.004,0.0287,1.403
3550,Switchboard,4.974,169.0,33.974,245.05,525,694,105.54,139.51,0.3924,0.3098,0.1582,73,4.216,2.045,6.178,72,-0.135,-0.012,72,0.4638,6.433,,,,1.809,,,1.809,0.0,8.041,12.81,2.211,0.0233,2.412
3551,Switchboard,4.979,74.0,14.863,195.63,809,165,162.49,33.14,0.3918,0.5152,0.265,26,11.065,2.97,15.74,25,0.429,0.365,25,0.8177,5.021,,,,0.402,,,0.402,0.0,1.406,1.13,0.803,0.0124,1.607
3552,Switchboard,4.97,118.0,23.744,198.81,475,513,95.58,103.23,0.4337,0.4074,0.0923,33,9.034,1.689,12.564,32,-0.116,-0.025,32,0.4845,3.22,,,,0.402,,,0.402,0.0,3.421,5.35,1.61,0.0633,
3553,Switchboard,4.976,85.0,17.082,177.05,461,420,92.64,84.4,0.3753,0.431,0.1832,30,9.787,2.545,15.384,29,0.155,0.165,29,0.5216,7.838,,,,0.402,,,0.402,0.0,2.01,2.25,0.603,0.0232,
3554,Switchboard,4.982,159.0,31.912,218.17,533,554,106.98,111.19,0.3771,0.3628,0.1765,66,4.638,1.831,6.79,65,-0.116,0.025,65,0.5075,4.416,,,,1.806,,,1.806,0.0,6.423,14.57,2.208,0.035,2.408
3555,Switchboard,4.974,98.0,19.701,177.11,549,332,110.36,66.74,0.4171,0.503,0.1996,35,8.099,3.971,8.251,34,0.431,0.485,34,0.6666,3.619,,,,0.804,,,0.804,0.0,2.211,3.37,0.603,0.0916,
3556,Switchboard,4.975,131.0,26.329,234.75,640,528,128.63,106.12,0.3984,0.4375,0.1321,63,4.847,2.893,6.174,62,-0.112,0.014,62,0.5111,3.819,,,,1.809,,,1.407,0.402,7.034,13.12,2.01,0.0054,0.201
3557,Switchboard,4.97,68.0,13.683,141.86,300,405,60.37,81.49,0.5,0.4444,0.2743,31,9.247,4.206,10.724,30,0.357,0.17,30,0.3409,2.616,,,,0.604,,,0.604,0.0,2.012,4.75,0.0,0.0243,2.616
3558,Switchboard,4.992,89.0,17.828,185.09,352,572,70.51,114.58,0.4261,0.3479,0.233,44,6.489,5.112,6.345,43,0.317,0.393,43,0.3528,2.003,,,,0.801,,,0.801,0.0,2.604,6.17,1.803,0.0239,
3559,Switchboard,4.994,138.0,27.635,191.84,462,496,92.52,99.33,0.4351,0.3851,0.1145,56,5.307,1.767,9.215,55,0.042,0.085,55,0.429,4.806,,,,1.202,,,1.202,0.0,5.006,9.89,4.406,0.0153,
3560,Switchboard,4.984,101.0,20.265,239.36,461,732,92.5,146.87,0.3579,0.3087,0.1641,30,9.688,6.444,10.062,29,0.179,0.141,29,0.3613,5.819,,,,0.201,,,0.201,0.0,2.207,3.98,3.21,0.026,
3561,Switchboard,4.976,63.0,12.661,186.29,399,528,80.18,106.11,0.4862,0.375,0.2377,38,7.652,2.854,12.786,37,0.193,0.164,37,0.4102,1.407,,,,0.603,,,0.603,0.0,2.211,4.11,0.0,0.0109,0.402
3562,Switchboard,4.979,88.0,17.673,217.1,369,712,74.11,142.99,0.4282,0.3301,0.1322,45,6.753,2.874,9.323,44,-0.121,-0.09,44,0.358,2.812,,,,0.803,,,0.803,0.0,4.619,11.53,0.201,0.0071,
3563,Switchboard,4.957,77.0,15.534,195.29,667,301,134.56,60.72,0.3928,0.4784,0.1476,44,6.667,4.5,7.038,43,0.058,0.111,43,0.6187,1.412,,,,0.807,,,0.807,0.0,4.035,6.09,0.605,0.0065,1.614
3564,Switchboard,4.988,104.0,20.849,231.14,434,719,87.0,144.14,0.394,0.3435,0.1434,42,7.071,2.394,11.112,41,0.054,0.135,41,0.4173,4.21,,,,0.802,,,0.802,0.0,2.807,6.0,2.005,0.0279,
3565,Switchboard,4.985,130.0,26.081,196.81,516,465,103.52,93.29,0.3895,0.4473,0.1881,64,4.589,3.065,4.419,63,0.084,0.231,63,0.5376,3.611,,,,1.605,,,1.404,0.201,4.815,12.73,0.802,0.0599,3.611
3566,Switchboard,4.986,58.0,11.632,174.28,273,596,54.75,119.53,0.4872,0.3658,0.1721,28,10.633,6.404,11.176,27,0.052,0.187,27,0.3301,2.607,,,,0.401,,,0.401,0.0,2.206,4.51,0.0,0.0057,
3567,Switchboard,4.984,91.0,18.258,189.2,665,278,133.43,55.78,0.3789,0.4353,0.1458,31,9.624,3.003,17.138,30,0.021,0.09,30,0.7227,5.417,,,,0.803,,,0.803,0.0,2.408,3.7,2.408,0.0113,1.605
3568,Switchboard,4.997,86.0,17.209,196.7,450,533,90.05,106.66,0.3622,0.4109,0.2456,34,8.638,3.456,11.158,33,0.148,0.158,33,0.5137,6.003,,,,0.6,,,0.6,0.0,2.401,4.78,1.001,0.0149,
3569,Switchboard,4.995,44.0,8.808,175.57,273,604,54.65,120.92,0.5238,0.3593,0.2352,27,10.572,6.369,9.721,26,0.537,0.635,26,0.3267,0.601,,,,0.4,,,0.4,0.0,0.801,1.63,0.4,0.0157,1.201
3570,Switchboard,4.973,91.0,18.297,208.51,637,400,128.08,80.43,0.3752,0.475,0.1438,45,6.656,2.613,9.392,44,-0.028,0.117,44,0.5777,1.609,,,,1.206,,,1.206,0.0,4.625,11.46,1.206,0.0112,2.212
3571,Switchboard,4.986,198.0,39.71,240.06,517,680,103.69,136.38,0.4081,0.3412,0.0941,93,3.296,2.409,3.328,92,-0.08,0.001,92,0.47,3.409,,,,2.006,,,1.805,0.201,9.827,15.22,3.209,0.0651,
3572,Switchboard,4.982,47.0,9.433,190.67,378,572,75.87,114.8,0.4418,0.3322,0.1647,24,12.08,9.835,10.402,23,0.355,0.172,23,0.3804,2.208,,,,0.401,,,0.401,0.0,1.405,1.86,0.201,0.0054,
3573,Switchboard,5.0,80.0,16.0,202.4,644,368,128.8,73.6,0.3789,0.4864,0.1414,36,8.33,2.928,13.444,35,-0.021,0.066,35,0.6136,2.4,,,,0.4,,,0.4,0.0,3.0,5.04,1.0,0.0129,0.8
3574,Switchboard,4.976,58.0,11.656,169.81,374,471,75.16,94.65,0.4251,0.4586,0.1013,15,19.917,14.234,20.19,14,-0.022,0.154,14,0.367,5.225,,,,0.402,,,0.402,0.0,1.206,2.31,0.402,0.0124,1.005
3575,Switchboard,5.003,117.0,23.387,186.9,398,537,79.56,107.34,0.3945,0.3594,0.1773,56,5.095,3.162,4.903,55,0.26,0.188,55,0.4738,4.797,,,,0.4,,,0.4,0.0,3.798,5.46,2.599,0.0073,
3576,Switchboard,4.982,99.0,19.87,202.31,570,438,114.4,87.91,0.4053,0.411,0.1354,42,6.992,2.615,8.629,41,0.128,0.119,41,0.5474,4.416,,,,0.201,,,0.201,0.0,3.412,4.03,1.405,0.0146,0.803
3577,Switchboard,4.985,65.0,13.04,168.52,404,436,81.05,87.47,0.4678,0.539,0.2631,33,8.459,5.923,7.09,32,0.602,0.694,32,0.4847,1.204,,,,0.602,,,0.602,0.0,1.605,1.76,0.401,0.0263,
3578,Switchboard,4.966,97.0,19.531,223.3,705,404,141.95,81.35,0.3915,0.3911,0.1863,49,6.161,1.387,11.018,48,-0.093,-0.017,48,0.6021,3.02,,,,1.208,,,1.208,0.0,5.436,11.33,0.201,0.006,
3579,Switchboard,4.985,87.0,17.454,189.99,268,679,53.77,136.22,0.459,0.3785,0.1657,32,9.433,3.013,13.9,31,-0.111,0.08,31,0.239,4.815,,,,1.003,,,1.003,0.0,2.809,9.14,1.806,0.0169,
3580,Switchboard,4.992,101.0,20.232,185.09,507,417,101.56,83.53,0.3846,0.4125,0.1838,43,6.786,4.205,7.662,42,0.142,0.24,42,0.5298,4.607,,,,1.402,,,1.402,0.0,2.804,6.06,3.405,0.0053,1.002
